,particle,material,thickness,p,cos_theta,efficiency,hit_additional_layer,all
216,single_n0,ld,10,0.05,0.05,0.024844720496894408,24.0,966.0
217,single_n0,ld,10,0.05,0.15000000000000002,0.018378378378378378,17.0,925.0
218,single_n0,ld,10,0.05,0.25,0.029801324503311258,27.0,906.0
219,single_n0,ld,10,0.05,0.35000000000000003,0.02903225806451613,27.0,930.0
220,single_n0,ld,10,0.05,0.45,0.027835051546391754,27.0,970.0
221,single_n0,ld,10,0.05,0.55,0.029315960912052116,27.0,921.0
222,single_n0,ld,10,0.05,0.6500000000000001,0.030623020063357972,29.0,947.0
223,single_n0,ld,10,0.05,0.75,0.03636363636363636,36.0,990.0
224,single_n0,ld,10,0.05,0.8500000000000001,0.0368763557483731,34.0,922.0
225,single_n0,ld,10,0.15000000000000002,0.05,0.008762322015334063,8.0,913.0
226,single_n0,ld,10,0.15000000000000002,0.15000000000000002,0.0078125,7.0,896.0
227,single_n0,ld,10,0.15000000000000002,0.25,0.01411764705882353,12.0,850.0
228,single_n0,ld,10,0.15000000000000002,0.35000000000000003,0.01002227171492205,9.0,898.0
229,single_n0,ld,10,0.15000000000000002,0.45,0.02275189599133261,21.0,923.0
230,single_n0,ld,10,0.15000000000000002,0.55,0.019101123595505618,17.0,890.0
231,single_n0,ld,10,0.15000000000000002,0.6500000000000001,0.007891770011273957,7.0,887.0
232,single_n0,ld,10,0.15000000000000002,0.75,0.016163793103448277,15.0,928.0
233,single_n0,ld,10,0.15000000000000002,0.8500000000000001,0.030716723549488054,27.0,879.0
234,single_n0,ld,10,0.25,0.05,0.007407407407407408,7.0,945.0
235,single_n0,ld,10,0.25,0.15000000000000002,0.00631578947368421,6.0,950.0
236,single_n0,ld,10,0.25,0.25,0.0042643923240938165,4.0,938.0
237,single_n0,ld,10,0.25,0.35000000000000003,0.0034285714285714284,3.0,875.0
238,single_n0,ld,10,0.25,0.45,0.009365244536940686,9.0,961.0
239,single_n0,ld,10,0.25,0.55,0.011904761904761904,11.0,924.0
240,single_n0,ld,10,0.25,0.6500000000000001,0.0032858707557502738,3.0,913.0
241,single_n0,ld,10,0.25,0.75,0.012618296529968454,12.0,951.0
242,single_n0,ld,10,0.25,0.8500000000000001,0.008928571428571428,8.0,896.0
243,single_n0,ld,10,0.35000000000000003,0.05,0.0010822510822510823,1.0,924.0
244,single_n0,ld,10,0.35000000000000003,0.15000000000000002,0.001091703056768559,1.0,916.0
245,single_n0,ld,10,0.35000000000000003,0.25,0.007502679528403001,7.0,933.0
246,single_n0,ld,10,0.35000000000000003,0.35000000000000003,0.0033003300330033004,3.0,909.0
247,single_n0,ld,10,0.35000000000000003,0.45,0.007383966244725738,7.0,948.0
248,single_n0,ld,10,0.35000000000000003,0.55,0.003121748178980229,3.0,961.0
249,single_n0,ld,10,0.35000000000000003,0.6500000000000001,0.0031847133757961785,3.0,942.0
250,single_n0,ld,10,0.35000000000000003,0.75,0.005376344086021506,5.0,930.0
251,single_n0,ld,10,0.35000000000000003,0.8500000000000001,0.005263157894736842,5.0,950.0
252,single_n0,ld,10,0.45,0.05,0.004362050163576881,4.0,917.0
253,single_n0,ld,10,0.45,0.15000000000000002,0.0062176165803108805,6.0,965.0
254,single_n0,ld,10,0.45,0.25,0.0010626992561105207,1.0,941.0
255,single_n0,ld,10,0.45,0.35000000000000003,0.004232804232804233,4.0,945.0
256,single_n0,ld,10,0.45,0.45,0.005543237250554324,5.0,902.0
257,single_n0,ld,10,0.45,0.55,0.004214963119072708,4.0,949.0
258,single_n0,ld,10,0.45,0.6500000000000001,0.0022222222222222222,2.0,900.0
259,single_n0,ld,10,0.45,0.75,0.006396588486140725,6.0,938.0
260,single_n0,ld,10,0.45,0.8500000000000001,0.005988023952095809,6.0,1002.0
261,single_n0,ld,10,0.55,0.05,0.0020876826722338203,2.0,958.0
262,single_n0,ld,10,0.55,0.15000000000000002,0.004366812227074236,4.0,916.0
263,single_n0,ld,10,0.55,0.25,0.003367003367003367,3.0,891.0
264,single_n0,ld,10,0.55,0.35000000000000003,0.003243243243243243,3.0,925.0
265,single_n0,ld,10,0.55,0.45,0.005555555555555556,5.0,900.0
266,single_n0,ld,10,0.55,0.55,0.004,4.0,1000.0
267,single_n0,ld,10,0.55,0.6500000000000001,0.004434589800443459,4.0,902.0
268,single_n0,ld,10,0.55,0.75,0.0022099447513812156,2.0,905.0
269,single_n0,ld,10,0.55,0.8500000000000001,0.00778642936596218,7.0,899.0
270,single_n0,ld,10,0.6500000000000001,0.05,0.005592841163310962,5.0,894.0
271,single_n0,ld,10,0.6500000000000001,0.15000000000000002,0.0021436227224008574,2.0,933.0
272,single_n0,ld,10,0.6500000000000001,0.25,0.0011135857461024498,1.0,898.0
273,single_n0,ld,10,0.6500000000000001,0.35000000000000003,0.0033370411568409346,3.0,899.0
274,single_n0,ld,10,0.6500000000000001,0.45,0.001076426264800861,1.0,929.0
275,single_n0,ld,10,0.6500000000000001,0.55,0.004268943436499467,4.0,937.0
276,single_n0,ld,10,0.6500000000000001,0.6500000000000001,0.0011111111111111111,1.0,900.0
277,single_n0,ld,10,0.6500000000000001,0.75,0.0010559662090813093,1.0,947.0
278,single_n0,ld,10,0.6500000000000001,0.8500000000000001,0.008988764044943821,8.0,890.0
279,single_n0,ld,10,0.75,0.05,0.0021413276231263384,2.0,934.0
280,single_n0,ld,10,0.75,0.15000000000000002,0.0031413612565445027,3.0,955.0
281,single_n0,ld,10,0.75,0.25,0.0010775862068965517,1.0,928.0
